resource_code,name,resource_type,category,unit,base_price,min_price,max_price,currency,usage_count,source,region,specifications,is_active
PU_MEKAKA_KAPUKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,9.09,9.08,45.42,EUR,30422,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 9.08, ""price_variants_count"": 4, ""avg_cost_per_use"": 90.37, ""avg_quantity_per_use"": 9.9441, ""used_in_rate_codes"": 24734, ""row_type"": ""Machinist"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP"", ""machine_class"": ""Earthmoving machinery"", ""machinist_grade"": ""4.0""}",True
PU_MEKAKA_KANEKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,15.83,1.71,561.3,EUR,29418,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 12.2, ""price_variants_count"": 13, ""avg_cost_per_use"": 206.89, ""avg_quantity_per_use"": 15.8395, ""used_in_rate_codes"": 24257, ""row_type"": ""Machinist"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP"", ""machine_class"": ""Earthmoving machinery"", ""machinist_grade"": ""6.0""}",True
PU_MEKAKA_KASAKA,Personnel: 1 person-hour/machine-hour,operator,Machine Operators,Machine hours,11.76,10.44,135.71,EUR,24718,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 10.44, ""price_variants_count"": 9, ""avg_cost_per_use"": 283.26, ""avg_quantity_per_use"": 25.5235, ""used_in_rate_codes"": 17482, ""row_type"": ""Machinist"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP"", ""machine_class"": ""Earthmoving machinery"", ""machinist_grade"": ""5.0""}",True
DXME-MEPU-KARI_KAKAME,"Flatbed trucks, load capacity up to 5 tons",equipment,Trucks & Vehicles,Machine hours,16.37,16.37,16.37,EUR,17559,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 16.37, ""price_variants_count"": 1, ""avg_cost_per_use"": 35.82, ""avg_quantity_per_use"": 2.1959, ""used_in_rate_codes"": 17559, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS"", ""machine_class"": ""Transportation equipment for transporting construction materials"", ""machinist_grade"": ""4.0""}",True
DXME-KASA-KASA_KAMESA,"Mobile cranes, lifting capacity 16 t",equipment,Cranes,Machine hours,42.15,42.15,42.15,EUR,17260,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 42.15, ""price_variants_count"": 1, ""avg_cost_per_use"": 454.13, ""avg_quantity_per_use"": 10.7846, ""used_in_rate_codes"": 17260, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL EXCAVATION BY EXCAVATORS WITH LOADING ONTO DUMP TRUCKS"", ""machine_class"": ""Cranes, except floating"", ""machinist_grade"": ""6.0""}",True
KAME-LI-KATO-KAPU_KAKAKAME,Electricity,material,General,kWh,0.19,0.19,0.19,EUR,15624,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.19, ""price_variants_count"": 1, ""avg_cost_per_use"": 580.14, ""avg_quantity_per_use"": 2970.7277, ""used_in_rate_codes"": 15624, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Pile driving, sinking wells, soil stabilization"", ""parent_department"": ""PILE DRIVING"", ""parent_section"": ""PILE DRIVING WORK PERFORMED FROM THE GROUND""}",True
DXME-MELI-KAPU_RITOTO,"Welding machines for manual arc welding, welding current up to 350 A",equipment,Welding Equipment,Machine hours,0.91,0.91,0.91,EUR,9059,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.91, ""price_variants_count"": 1, ""avg_cost_per_use"": 48.22, ""avg_quantity_per_use"": 53.1988, ""used_in_rate_codes"": 9059, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY HYDRO-MECHANIZATION"", ""machine_class"": ""Devices for heat treatment, welding, testing, and inspection of welded joints"", ""electricity_kwh_per_hour"": 3.7, ""electricity_cost_per_unit"": 0.49}",True
DXME-MELI-KAPU_RITOTO,Electricity: consumption TO.LI kWh/machine-hour,electricity,Electricity,Machine hours,0.49,0.49,0.49,EUR,9059,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.49, ""price_variants_count"": 1, ""avg_cost_per_use"": 26.29, ""avg_quantity_per_use"": 53.1988, ""used_in_rate_codes"": 9059, ""row_type"": ""Electricity"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY HYDRO-MECHANIZATION"", ""machine_class"": ""Devices for heat treatment, welding, testing, and inspection of welded joints"", ""electricity_kwh_per_hour"": 3.7, ""electricity_cost_per_unit"": 0.49}",True
KAME-LI-KATO-KAME_KAKAKAME,Water,material,Water & Utilities,m3,1.16,1.16,1.16,EUR,7937,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 1.16, ""price_variants_count"": 1, ""avg_cost_per_use"": 122.42, ""avg_quantity_per_use"": 106.0106, ""used_in_rate_codes"": 7937, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS""}",True
ME_MEKAKA_PUKA,Worker Category 1,labor,Labor,hrs,17.12,17.12,17.12,EUR,7620,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 17.12, ""price_variants_count"": 1, ""avg_cost_per_use"": 4520.31, ""avg_quantity_per_use"": 264.0885, ""used_in_rate_codes"": 7620, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY HYDRO-MECHANIZATION""}",True
