resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
PU_MEKAKA_KAPUKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,22.66,22.62,113.1,22.62,4,AED,224.99,9.918,30422,24734,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب,b74f957a246b
PU_MEKAKA_KANEKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,39.43,4.25,1397.8,30.39,13,AED,515.2,15.8152,29418,24257,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب,5f17fd0a53cc
PU_MEKAKA_KASAKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,29.28,26.0,337.97,26.0,9,AED,705.39,25.4946,24718,17482,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب,14643e0ce049
DXME-MEPU-KARI_KAKAME,شاحنات ذات جوانب، حمولة تصل إلى 5 طن,Equipment,General,ساعات تشغيل الآلة,40.75,40.75,40.75,40.75,1,AED,89.18,2.1882,17559,17559,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة,4cadf96301a2
DXME-KASA-KASA_KAMESA,رافعات على عجلات، حمولة 16 طن,Equipment,General,ساعات تشغيل الآلة,104.96,104.96,104.96,104.96,1,AED,1130.93,10.7746,17260,17260,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة,64197c34001a
KAME-LI-KATO-KAPU_KAKAKAME,الطاقة الكهربائية,Material,General,كيلوواط-ساعة,0.48,0.48,0.48,0.48,1,AED,1428.99,2968.2559,15624,15624,أعمال البناء,أعمال الأساسات، الآبار الغاطسة، تثبيت التربة,أعمال الأساسات,أعمال الأساسات المنفذة من الأرض,8bbdbd8be4c9
DXME-MELI-KAPU_RITOTO,أجهزة لحام يدوية بالقوس الكهربائي، تيار لحام حتى 350 أمبير,Equipment,General,ساعات تشغيل الآلة,2.26,2.26,2.26,2.26,1,AED,120.08,53.1988,9059,9059,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية,1a68d8ac0360
DXME-MELI-KAPU_RITOTO,الكهرباء: استهلاك 3.7 كيلوواط/ساعة/آلة,Electricity,Electricity,ساعات تشغيل الآلة,1.23,1.23,1.23,1.23,1,AED,65.32,53.1988,9059,9059,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية,a47df2959118
KAME-LI-KATO-KAME_KAKAKAME,ماء,Material,General,م3,2.88,2.88,2.88,2.88,1,AED,297.65,103.2782,7937,7937,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير الحفر والتعبئة بالردم للطرق الحديدية والسيارات,adbdc793578c
ME_MEKAKA_PUKA,"متوسط تصنيف العمل 4,0",Labor,Labor,ساعات,42.63,42.63,42.63,42.63,1,AED,11256.93,264.0885,7620,7620,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية,2ab68f761389
KAME-TO-KARI-KAVO_KAKAKAME,أكسجين غازي تقني,Material,General,م3,10.5,10.5,10.5,10.5,1,AED,273.91,26.0864,6539,6539,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تجفيف المياه,7b87ffd03629
KAME-LI-MEME-KALI_KARIRILI,أقطاب لحام الفولاذ منخفض السبائك والكربوني UONI 13/45، E42A، قطر 4-5 مم,Material,General,كغ,9.73,9.73,9.73,9.73,1,AED,641.82,65.9506,5578,5578,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية,a1f88da87ddc
KAME-TO-KARI-KADX_KAKARIRI,خليط البروبان والبيوتان التقني,Material,General,كغ,4.62,4.62,4.62,4.62,1,AED,44.42,9.6035,4774,4774,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تقوية منحدرات المنشآت الترابية,44f2e16d8534
PU_MEKAKA_KALIKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,34.85,32.41,194.47,32.41,5,AED,1290.3,39.065,4659,4214,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب,43b1584563e2
PU_MEKAKA_KATOKA,الموظفون: 1 شخص-ساعة/آلة-ساعة,Operator,Operators,ساعات تشغيل الآلة,20.32,20.09,40.18,20.09,2,AED,288.37,14.2676,4041,3793,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تطوير التربة يدويًا,4c68333fec88
DXME-MELI-KAPU_KAPURI,أجهزة اللحام والقطع بالغاز,Equipment,General,ساعات تشغيل الآلة,0.36,0.36,0.36,0.36,1,AED,6.65,18.4801,3819,3819,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تجفيف المياه,4b59692b7f61
KAME-LI-MESA-KATO_KAKAPURI,براغي مع صواميل ورقائق بناء,Material,General,كغ,13.64,13.64,13.64,13.64,1,AED,449.71,32.9608,3400,3400,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة,e80d6aad3dbf
KAME-LI-KATO-KAME_KAKAKARI,مياه الصنبور,Material,General,م3,2.93,2.93,2.93,2.93,1,AED,5145.42,1732.5504,3328,3328,أعمال البناء,الهياكل الخرسانية والخرسانية المسلحة المتجانسة,إنشاءات مباني محطات الطاقة النووية,حقن مكونات القنوات لنظام الشد المسبق للغلاف الواقي لمبنى المفاعل,9fcd0875c1da
KAME-LI-MESA-KANE_KAMEMEME,مسامير بناء,Material,General,طن,5860.96,5860.96,5860.96,5860.96,1,AED,87.72,0.0132,3190,3190,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات مع التحميل على شاحنات قلابة,3dfaa2291d3d
DXME-KANE-KASA_KAMEME,لوادر أحادية الجرافة متعددة الأغراض أمامية تعمل بالهواء المضغوط، السعة الاسمية للجرافة الرئيسية 2.6 م3، الحمولة 5 طن,Equipment,General,ساعات تشغيل الآلة,108.92,108.92,108.92,108.92,1,AED,213.59,1.9609,2921,2921,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة وتركيب مصارف في بناء مشاريع المياه,69805f9e903f
RI_MEKAKA_KAPU,عامل من الدرجة الرابعة,Labor,Labor,ساعات,42.63,42.63,42.63,42.63,1,AED,3056.28,71.7006,2918,2914,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة وتركيب مصارف في بناء مشاريع المياه,dfe7f5336730
DXME-KADX-KARI_KAKAVO,عربات غير قابلة للانقلاب، سعة 2.5 م3,Equipment,General,ساعات تشغيل الآلة,0.76,0.76,0.76,0.76,1,AED,64.11,84.2565,2892,2892,أعمال البناء,أعمال حفر الأنفاق,أعمال حفر الأنفاق التي يتم تنفيذها بالطريقة العادية,مرور وصلات الأعمدة الرأسية مع الساحات المحيطة، غرف أجهزة التحميل في الأعمدة الرأ,76ea30cdeb86
KAME-LI-MEME-KALI_KARITOKA,أقطاب لحام للصلب منخفض السبائك والكربوني UONI 13/55، E50A، قطر 4-5 مم,Material,General,كغ,9.31,9.31,9.31,9.31,1,AED,552.59,59.364,2861,2861,أعمال البناء,الآبار,حفر الآبار,أنواع أخرى من الحفر,68409a9e8620
ME_MEKAKA_TOKA,"متوسط تصنيف العمل 3,0",Labor,Labor,ساعات,37.85,37.85,37.85,37.85,1,AED,3976.27,105.0412,2694,2694,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب,3f09c885ce2d
PU_MEKAKA_KASASA,الموظفون: 2 ساعة عمل/ساعة عمل الآلة,Operator,Operators,ساعات تشغيل الآلة,59.86,56.38,112.77,56.38,2,AED,511.81,8.9018,2611,2509,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير الحفر والتعبئة بالردم للطرق الحديدية والسيارات,f39cf739e5dd
DXME-KADX-KATO_KATOSA,منصات عريضة، حمولة 73 طن,Equipment,General,ساعات تشغيل الآلة,14.23,14.23,14.23,14.23,1,AED,231.95,16.2964,2608,2608,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير الحفر والتعبئة بالردم للطرق الحديدية والسيارات,04ca069e49c2
ME_MEKAKA_TOVO,"متوسط تصنيف العمل 3,8",Labor,Labor,ساعات,41.67,41.67,41.67,41.67,1,AED,11789.62,282.9182,2594,2594,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب,e99bdfc599e1
RI_MEKAKA_KASA,عامل من الدرجة الخامسة,Labor,Labor,ساعات,48.99,48.99,48.99,48.99,1,AED,7228.08,147.549,2550,2547,أعمال البناء,الآبار,حفر الآبار,أنواع أخرى من الحفر,9195d4903295
KAVO-ME-KARI-MEME_KAKAKAME,مطروقات من قطع مربعة، وزن 1.5-4.5 كجم,Material,General,طن,5337.05,5337.05,5337.05,5337.05,1,AED,1556.7,0.2888,2506,2506,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,حفر وملء الخنادق للأنابيب الرئيسية والصناعية للغاز والنفط والمنتجات البترولية,55d9677747f6
DXME-KASA-KANE_KAKALI,رافعات مجنزرة، حمولة 25 طن,Equipment,General,ساعات تشغيل الآلة,153.47,153.47,153.47,153.47,1,AED,3967.8,25.8546,2365,2365,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,حفر وملء الخنادق للأنابيب الرئيسية والصناعية للغاز والنفط والمنتجات البترولية,555d20273aa9
KAME-TO-KARI-KATO_KAKAKAME,أسيتيلين غازي تقني,Material,General,م3,39.37,39.37,39.37,39.37,1,AED,713.72,18.1293,2331,2331,أعمال البناء,أعمال الحفر والتفجير,تغطية المناطق المراد تفجيرها وإجراء أعمال الحفر والتفجير على خطوط السكك الحديدية,تغطية منطقة التفجير لحماية المنشآت,c7dcf7650ef0
RI_MEKAKA_KARI,عامل من الدرجة الثانية,Labor,Labor,ساعات,34.67,34.67,34.67,34.67,1,AED,1352.39,39.0037,2220,2220,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة وتركيب مصارف في بناء مشاريع المياه,1ae20d37d989
ME_MEKAKA_TOSA,"متوسط شحن العمل 3,5",Labor,Labor,ساعات,40.24,40.24,40.24,40.24,1,AED,6215.5,154.4608,2210,2210,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة باستخدام الحفارات في المكب,a83558f0f42b
DXME-MEVO-KAME_KAKALI,ضواغط لولبية متنقلة بمحرك احتراق داخلي، ضغط يصل إلى 0.7 ميجا باسكال (7 ضغط جوي)، إنتاجية تصل إلى 5.4 م3/دقيقة,Equipment,General,ساعات تشغيل الآلة,26.29,26.29,26.29,26.29,1,AED,797.34,30.3268,2133,2133,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تكثيف التربة,a89543f322ac
RI_MEKAKA_KATO,عامل من الدرجة الثالثة,Labor,Labor,ساعات,37.85,37.85,37.85,37.85,1,AED,3182.84,84.0812,2130,2130,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة وتركيب مصارف في بناء مشاريع المياه,f7bcb59226ba
MEPU-PU-KARI-KAPU_KAMEPURI,طلاء زيتي MA-0115، مومياء، زنجفر حديدي,Material,General,كغ,8.16,8.16,8.16,8.16,1,AED,19.39,2.37,2013,2013,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تجفيف المياه,53f96dcb5dbe
ME_MEKAKA_TODX,"متوسط شحن العمل 3,9",Labor,Labor,ساعات,42.15,42.15,42.15,42.15,1,AED,19601.61,465.0566,1933,1933,أعمال البناء,أعمال الحفر,التطوير الميكانيكي للتربة (بواسطة الحفارات، الكاشطات، الجرافات، الممهدات، طريقة ,تطوير التربة بطريقة الهيدروميكانيكية,bdaeb42e3118
KAME-LI-RIKA-KAVO_KAKASAME,خرق قطني ملون,Material,General,كغ,5.96,5.96,5.96,5.96,1,AED,8.04,1.3495,1881,1881,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تقوية منحدرات المنشآت الترابية,bdf11c072a82
ME_MEKAKA_SAKA,"متوسط تصنيف العمل 5,0",Labor,Labor,ساعات,48.99,48.99,48.99,48.99,1,AED,12175.49,248.542,1829,1829,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تطوير التربة الصخرية والتربة دائمة التجمد,b47c36b79b23
ME_MEKAKA_PURI,"متوسط تصنيف العمل 4,2",Labor,Labor,ساعات,43.9,43.9,43.9,43.9,1,AED,23055.89,525.2102,1798,1798,أعمال البناء,أعمال التعدين,تطوير التربة باستخدام حفارات أحادية الجرافة,تشكيل حواجز بواسطة الجرافات,4d7f0757f116
DXME-KANE-KANE_KAPUVO,رافعات أحادية العمود، حمولة تصل إلى 500 كجم، ارتفاع الرفع 45 م,Equipment,General,ساعات تشغيل الآلة,3.76,3.76,3.76,3.76,1,AED,3.19,0.8482,1750,1750,أعمال البناء,الهياكل الخرسانية والخرسانية المسلحة المتجانسة,أعمال أخرى,تقوية سطح الخرسانة,afa669074127
ME_MEKAKA_TONE,"متوسط شحن العمل 3,6",Labor,Labor,ساعات,40.72,40.72,40.72,40.72,1,AED,12403.32,304.62,1726,1726,أعمال البناء,أعمال الحفر,أنواع أخرى من أعمال الحفر، الأعمال التحضيرية والمصاحبة وأعمال التثبيت,تطوير التربة الصخرية والتربة دائمة التجمد,1d8dc3a527e1
RISA-ME-KAME-KAPU_KAKATOME,عوارض من خشب الصنوبر، غير مشبعة، للسكك الحديدية ذات العرض العريض، النوع I,Material,General,قطعة,154.05,154.05,154.05,154.05,1,AED,1338.4,8.6879,1707,1707,أعمال البناء,الجسور والأنابيب,أعمال متنوعة,تركيب هياكل التراب,b9a9424abe66
DXME-KANE-KATO_KANERI,رافعات كهربائية بقوة سحب تصل إلى 31.39 كيلو نيوتن (3.2 طن),Equipment,General,ساعات تشغيل الآلة,1.3,1.3,1.3,1.3,1,AED,34.88,26.803,1694,1694,أعمال البناء,أعمال الأساسات، الآبار الغاطسة، تثبيت التربة,تثبيت التربة,تدعيم التربة,113ef5581b8c
DXME-KANE-KATO_KANERI,الكهرباء: استهلاك 0.39 كيلوواط/ساعة,Electricity,Electricity,ساعات تشغيل الآلة,0.13,0.13,0.13,0.13,1,AED,3.44,26.803,1694,1694,أعمال البناء,أعمال الأساسات، الآبار الغاطسة، تثبيت التربة,تثبيت التربة,تدعيم التربة,ab20b7cadcb4
