resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
88316,SERVENTE COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,17.27,17.27,17.27,17.27,1,BRL,45.72,2.6476,3636,3636,Acessibilidade,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Acessibilidade,Acessibilidade,851399a0dcd9
88267,ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,21.24,21.24,21.24,21.24,1,BRL,14.32,0.6743,2214,2214,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",b20424b84c23
88248,AUXILIAR DE ENCANADOR OU BOMBEIRO HIDRÁULICO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,16.7,16.7,16.7,16.7,1,BRL,8.87,0.5309,2156,2156,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",f5ef4a75a55f
88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,21.98,21.98,21.98,21.98,1,BRL,127.77,5.8132,1283,1283,Acessibilidade,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Acessibilidade,Acessibilidade,fb4ffb813323
88264,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,22.26,22.26,22.26,22.26,1,BRL,26.75,1.2016,869,869,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",95cdb6ecdef8
88247,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,17.63,17.63,17.63,17.63,1,BRL,11.3,0.6412,856,856,"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),"Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis","Bombas Hidráulicas - Centrífugas, Horizontais e Submersíveis",5a6a09650795
38383,"LIXA D'AGUA EM FOLHA, COR PRETA, GRAO 100",Material,General,UN,1.82,1.82,1.82,1.82,1,BRL,0.1,0.0533,654,654,Drenagem de ar condicionado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado,2c09862c05b6
88262,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,21.62,21.62,21.62,21.62,1,BRL,55.08,2.5478,614,614,Bocas para Bueiros,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Bocas para Bueiros,Bocas para Bueiros,ab7f0cc03f3f
3148,"FITA VEDA ROSCA, EM PTFE, ROLO DE 18 MM X 50 M (L X C)",Material,General,UN,8.88,8.88,8.88,8.88,1,BRL,0.27,0.0299,513,513,Drenagem de ar condicionado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado,a6149aad62e5
88239,AJUDANTE DE CARPINTEIRO COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,17.15,17.15,17.15,17.15,1,BRL,16.53,0.9636,489,489,Bocas para Bueiros,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Bocas para Bueiros,Bocas para Bueiros,694abb1543b0
88246,ASSENTADOR DE TUBOS COM ENCARGOS COMPLEMENTARES,Labor,Labor,H,18.21,18.21,18.21,18.21,1,BRL,8.69,0.4773,483,483,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD,51c6ce168ad6
20078,"PASTA LUBRIFICANTE PARA TUBOS E CONEXOES COM JUNTA ELASTICA, EMBALAGEM DE *400* GR (USO EM PVC, ACO, POLIETILENO E OUTROS)",Material,General,UN,22.23,22.23,22.23,22.23,1,BRL,2.42,0.1091,396,396,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD,d4d1d12277c1
5678,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHP DIURNO. AF_06/2014",Equipment,General,CHP,142.52,142.52,142.52,142.52,1,BRL,15.96,0.112,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD,d56221e14634
5679,"RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014",Equipment,General,CHI,54.19,54.19,54.19,54.19,1,BRL,13.54,0.2499,393,393,Assentamento de Tubos de Esgoto em PVC e PEAD,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Assentamento de Tubos de Esgoto em PVC e PEAD,Assentamento de Tubos de Esgoto em PVC e PEAD,f67fe4dab2a5
5928,"GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - CHP DIURNO. AF_06/2014",Equipment,General,CHP,260.83,260.83,260.83,260.83,1,BRL,95.37,0.3656,381,381,Instalações para Canteiros de Obras,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Instalações para Canteiros de Obras,Instalações para Canteiros de Obras,da35992aa261
20083,"SOLUCAO PREPARADORA / LIMPADORA PARA PVC, FRASCO COM 1000 CM3",Material,General,UN,61.02,61.02,61.02,61.02,1,BRL,1.54,0.0252,376,376,Drenagem de ar condicionado,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Drenagem de ar condicionado,Drenagem de ar condicionado,933b24c7198b
