resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
WW00400,PEQUEÑO MATERIAL,Material,General,u,0.33,0.33,0.33,0.33,1,EUR,1.96,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios,4b5470eb52c5
WW00300,MATERIAL COMPLEMENTARIO O PZAS. ESPECIALES,Material,General,u,0.6,0.6,0.6,0.6,1,EUR,7.75,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios,c6b5bd606d87
TP00100,PEÓN ESPECIAL,Labor,Labor,h,22.01,22.01,22.01,22.01,1,EUR,17.86,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Bóvedas,851d479f5f89
ATC00100,"CUADRILLA ALBAÑILERÍA, FORMADA POR OFICIAL 1ª Y PEÓN ESP.",Material,General,h,45.18,45.18,45.18,45.18,1,EUR,73.3,1.6224,1230,1230,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,In situ,50724d3cafd2
TO01900,OF. 1ª FONTANERO,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,23.47,1.0131,887,887,SANEAMIENTO,Base de Costes de la Construccion de Andalucia (BCCA 2023),SANEAMIENTO,Sifónicas,b43502eaa905
TO02100,OFICIAL 1ª,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,19.56,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios,fa5af625fffa
TO01800,OF. 1ª ELECTRICISTA,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,25.98,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Contadores,279cc8d14e49
ATC00400,CUADRILLA FORMADA POR OFICIAL 1ª INSTALADOR Y AYUDANTE,Material,General,h,45.53,45.53,45.53,45.53,1,EUR,702.62,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Aire acondicionado,eeb82effde40
AGM00500,"MORTERO DE CEMENTO M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,79.9,79.9,79.9,79.9,1,EUR,5.38,0.0673,465,465,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,Fábricas,1cb738eeb586
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,8.99,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,A brazo,ffa3116548a0
TO01400,OF. 1ª CALEFACTOR O MECÁNICO,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,54.22,2.3399,365,365,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos y elementos auxiliares,5317a0e388f5
ATC00200,"CUADRILLA ALBAÑILERÍA, FORMADA POR OFICIAL 2ª Y PEÓN ESP.",Material,General,h,44.6,44.6,44.6,44.6,1,EUR,27.87,0.6249,355,355,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,In situ,90c70d54b3ad
TO00100,OF. 1ª ALBAÑILERÍA,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,15.23,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Hormigón armado,9a73cc3b027c
CH04120,"HORMIGÓN HM-20/P/40/X0, SUMINISTRADO",Material,General,m3,93.3,93.3,93.3,93.3,1,EUR,25.34,0.2715,313,313,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,En masa,bd0cbf65649c
MK00100,CAMIÓN BASCULANTE,Equipment,General,h,38.12,38.12,38.12,38.12,1,EUR,4.94,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Bóvedas,4613285e9351
RW01900,JUNTA DE SELLADO,Material,General,m,1.36,1.36,1.36,1.36,1,EUR,4.48,3.2937,286,286,ALBAÑILERÍA,Base de Costes de la Construccion de Andalucia (BCCA 2023),ALBAÑILERÍA,Varios,b9662332c875
TA00200,AYUDANTE ESPECIALISTA,Labor,Labor,h,22.36,22.36,22.36,22.36,1,EUR,27.76,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Aire acondicionado,c998e8865478
AGL00100,"LECHADA DE CEMENTO CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,163.42,163.42,163.42,163.42,1,EUR,0.24,0.0015,209,209,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Peldaños,816fcadde15b
MC00100,COMPRESOR DOS MARTILLOS,Equipment,General,h,9.46,9.46,9.46,9.46,1,EUR,7.21,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Hormigón armado,61b9a54ea7b3
TO00300,OF. 1ª COLOCADOR,Labor,Labor,h,23.17,23.17,23.17,23.17,1,EUR,4.33,0.187,176,176,ESTRUCTURAS,Base de Costes de la Construccion de Andalucia (BCCA 2023),ESTRUCTURAS,ESTRUCTURAS,ad0a838aed25
KA01100,PRECERCO TUBO ACERO GALVANIZADO ABATIBLE O FIJO,Material,General,m,3.77,3.77,3.77,3.77,1,EUR,12.92,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Base de Costes de la Construccion de Andalucia (BCCA 2023),CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Fijas,264539ee7998
ME00300,PALA CARGADORA,Equipment,General,h,35.54,35.54,35.54,35.54,1,EUR,1.31,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Bóvedas,2d8e90f58334
