resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
PU_MEKAKA_KAPUKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,8.76,8.75,43.74,8.75,4,EUR,87.02,9.9441,30422,24734,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL À L'AIDE D'EXCAVATRICES DANS LA DÉCHARGE,8760b8121560
PU_MEKAKA_KANEKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,15.25,1.65,540.51,11.75,13,EUR,199.23,15.8395,29418,24257,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL À L'AIDE D'EXCAVATRICES DANS LA DÉCHARGE,1afb03ac586e
PU_MEKAKA_KASAKA,Personnel : 1 personne-heure/machine-heure,Operator,Operators,Heures machine,11.32,10.05,130.69,10.05,9,EUR,272.77,25.5235,24718,17482,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION DU SOL À L'AIDE D'EXCAVATRICES DANS LA DÉCHARGE,2cb60f72b667
DXME-MEPU-KARI_KAKAME,"Camions à plateau, capacité de charge jusqu'à 5 tonnes",Equipment,General,Heures machine,15.76,15.76,15.76,15.76,1,EUR,34.49,2.1959,17559,17559,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL À L'AIDE D'EXCAVATRICES AVEC CHARGEMENT SUR DES CAMIONS À BE,6941a7783310
DXME-KASA-KASA_KAMESA,"Grues sur châssis automobile, capacité de charge 16 t",Equipment,General,Heures machine,40.59,40.59,40.59,40.59,1,EUR,437.31,10.7846,17260,17260,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL À L'AIDE D'EXCAVATRICES AVEC CHARGEMENT SUR DES CAMIONS À BE,7f39bbec5431
KAME-LI-KATO-KAPU_KAKAKAME,Électricité,Material,General,kWh,0.19,0.19,0.19,0.19,1,EUR,559.45,2970.7277,15624,15624,TRAVAUX DE CONSTRUCTION,"Travaux de battage, puits de forage, consolidation des sols",TRAVAUX DE PILOTAGE,TRAVAUX DE FORAGE RÉALISÉS À PARTIR DU SOL,aceac67ff860
DXME-MELI-KAPU_RITOTO,"Appareils de soudage pour le soudage à l'arc manuel, courant de soudage jusqu'à 350 A",Equipment,General,Heures machine,0.87,0.87,0.87,0.87,1,EUR,46.43,53.1988,9059,9059,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION,e68e5e6feeac
DXME-MELI-KAPU_RITOTO,"Électricité : consommation 3,7 kW·h/machine-heure",Electricity,Electricity,Heures machine,0.47,0.47,0.47,0.47,1,EUR,25.32,53.1988,9059,9059,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION,08e10a4b378e
KAME-LI-KATO-KAME_KAKAKAME,Eau,Material,General,m3,1.11,1.11,1.11,1.11,1,EUR,117.91,106.0106,7937,7937,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXCAVATION ET REMBLAIEMENT POUR VOIES FERRÉES ET ROUTES,d29d2447122f
ME_MEKAKA_PUKA,Charge de travail moyenne 4,Labor,Labor,heures,16.48,16.48,16.48,16.48,1,EUR,4352.89,264.0885,7620,7620,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION,cede399cfab1
KAME-TO-KARI-KAVO_KAKAKAME,Oxygène gazeux technique,Material,General,m3,4.06,4.06,4.06,4.06,1,EUR,106.23,26.3442,6539,6539,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"AUTRES TYPES DE TRAVAUX DE TERRASSEMENT, TRAVAUX PRÉPARATOIRES, CONNEXES ET DE R",DRAINAGE,a62a843a12bc
KAME-LI-MEME-KALI_KARIRILI,"Électrodes de soudage pour le soudage des aciers faiblement alliés et carbonés UONI 13/45, E42A, diamètre 4-5 mm",Material,General,kg,3.76,3.76,3.76,3.76,1,EUR,248.63,66.1641,5578,5578,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"MÉCANISATION DU TRAVAIL DU SOL (À L'AIDE D'EXCAVATRICES, DE RÉCUPÉRATEURS, DE BU",EXPLOITATION DU SOL PAR HYDRO-MÉCANISATION,8249540d8534
KAME-TO-KARI-KADX_KAKARIRI,Mélange propane-butane technique,Material,Chemicals,kg,1.79,1.79,1.79,1.79,1,EUR,17.41,9.9601,4774,4774,TRAVAUX DE CONSTRUCTION,Travaux de terrassement,"AUTRES TYPES DE TRAVAUX DE TERRASSEMENT, TRAVAUX PRÉPARATOIRES, CONNEXES ET DE R",RENFORCEMENT DES PENTES DES OUVRAGES EN TERRE,515d942883fe
