resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
003,Τεχνίτης,Labor,Labor,ώρα,19.86,19.86,19.86,19.86,1,EUR,53.27,2.6815,968,898,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 21,9d3ab3b32c33
002,Εργάτης ειδικευμένος,Labor,Labor,ώρα,16.84,16.84,16.84,16.84,1,EUR,53.07,3.1509,496,448,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 11,f218df3ab0c6
001,Εργάτης ανειδίκευτος,Labor,Labor,ώρα,15.32,15.32,15.32,15.32,1,EUR,33.27,2.1722,341,327,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 11,985579a88c69
211,Ξυλεία δρυός εγχώρια,Material,General,,17.87,1.23,750.0,1.23,2,EUR,126.94,100.6957,270,175,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 55,345506acb7de
251,Ήλοι κοινοί (βελόνες),Material,General,kg,34.53,0.56,290.0,0.93,3,EUR,7.15,2.0911,129,128,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 14,36040ed0cb2d
021,Ύδωρ,Material,General,m3,2.67,2.67,2.67,2.67,1,EUR,0.61,0.2267,103,103,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 14,53dc4dcbf208
221,Τσιμέντο κοινό (Ελληνικού τύπου) με την αξία των χάρτινων σάκων Kg,Material,General,,0.1,0.1,0.1,0.1,1,EUR,22.32,223.3854,96,55,Road works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Road works,Road works - chapter 25,ebe9d12b01c4
1445,ΟΙΚ 1445,Abstract Material,General,,58.88,58.88,58.88,58.88,1,EUR,1.03,0.0175,88,88,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 42,683133159924
214,Ορυκτέλαιο,Material,General,kg,4.07,1.87,4.55,4.55,2,EUR,26.18,5.7679,78,75,Hydraulic works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Hydraulic works,Hydraulic works - chapter 50,c559e1c26f0d
026,Τσιμέντο κοινό με την αξία χαρτοσάκων,Material,General,kg,0.1,0.1,0.1,0.1,1,EUR,22.49,225.1173,75,75,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 14,688ea7cfa5b6
201,"Ξυλεία πελεκητή (για ικριώματα, στέγες κλπ.) προελεύσεως εσωτερικού",Material,General,,290.0,290.0,290.0,290.0,1,EUR,27.11,0.0935,75,75,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 23,2a999cbe2230
203.2,"Ξυλεία πριστή λευκή προελεύσεως Κεντρικής Ευρώπης 335,00 m3 .4 Ξυλεία πριστή εγχώρια ελάτης",Material,General,,370.0,370.0,370.0,370.0,1,EUR,34.49,0.0932,73,67,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 52,c58d320c6887
205,Ξυλεία πριστή προελεύσεως Σουηδίας Α',Material,General,,480.0,480.0,480.0,480.0,1,EUR,20.0,0.0417,69,59,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 54,4a9bc087e81a
116,"ΔΙΑΣΤΡΩΤΗΡΑΣ ΑΣΦΑΛΤΟΣΚΥΡΟΔΕΜΑΤΟΣ (FINISHER) 18.1 BARBER GREEN 230, μέγ. πλάτους 8,00 m, ισχύος 18.2 BARBER GREEN 250, μέ",Equipment,General,ΗΜ,20.28,19.86,23.15,19.86,2,EUR,106.59,5.1977,63,55,Road works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Road works,Road works - chapter 12,2ba749e00530
081,"Λίθοι αργοί λατομείου m3 11,01 ΤΕΧΝΗΤΑ ΠΕΤΡΩΔΗ ΥΛΙΚΑ",Material,General,,8.95,8.95,8.95,8.95,1,EUR,3.93,0.4397,58,58,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 34,0acc65501604
1444,ΟΙΚ 1444,Abstract Material,General,,73.12,73.12,73.12,73.12,1,EUR,0.22,0.003,56,56,Building works,Αναλυτικα Τιμολογια Εργων (ΓΓΔΕ),Building works,Building works - chapter 71,254e0e58e3e2
