resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
TOS26_RU.M10.001.002,Settore: EDILE Specifiche: per dipendenti a tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n. 12 del 5 aprile 2023 Compreso: - retribuzione contrattuale; - oneri di legge e di fatto gravanti sulla manodopera; - nolo ed uso degli attrezzi di uso comune in dota,Labor,Labor,ora,32.17,32.17,32.17,32.17,1,EUR,9.75,0.3032,5533,3192,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,DEMOLIZIONE,9312b823f5f2
TOS26_RU.M10.001.004,Settore: EDILE Specifiche: per dipendenti a tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n. 12 del 5 aprile 2023 Compreso: - retribuzione contrattuale; - oneri di legge e di fatto gravanti sulla manodopera; - nolo ed uso degli attrezzi di uso comune in dota,Labor,Labor,ora,26.81,26.81,26.81,26.81,1,EUR,12.53,0.4675,2817,2620,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,DEMOLIZIONE,68d6ab0c9239
TOS26_AT.N01.065.001,"Tipo: MACCHINE OPERATRICI Specifiche: consegnate in cantiere | Oggetto: MARTELLI / PERFORATORI ELETTRICI ED ACCESSORI | Trapano con percussione, potenza 450/500 W, per punte da 5-20 mm - 1 giorno",Equipment,General,ora,2.39,2.39,2.39,2.39,1,EUR,0.26,0.1074,1180,1180,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,ISTALLAZIONE INFISSO,832a5d308830
TOS26_RU.M11.001.004,Settore: METALMECCANICO / IMPIANTISTICO Specifiche: per dipendenti a tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n 73 del 22 novembre 2024 Compreso: - retribuzione contrattuale; - oneri di legge e di fatto gravanti sulla manodopera; - nolo ed uso degli att,Labor,Labor,ora,24.48,24.48,24.48,24.48,1,EUR,39.56,1.6159,1106,1102,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,ARMATURE,6c5af393fdbf
TOS26_RU.M10.001.003,Settore: EDILE Specifiche: per dipendenti a tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n. 12 del 5 aprile 2023 Compreso: - retribuzione contrattuale; - oneri di legge e di fatto gravanti sulla manodopera; - nolo ed uso degli attrezzi di uso comune in dota,Labor,Labor,ora,29.84,29.84,29.84,29.84,1,EUR,10.89,0.365,1066,1030,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,DEMOLIZIONE,f2094a8af20f
TOS26_PRCAM.P09.017.001,"MALTE E STUCCHI - CAM PREMISCELATI / PRECONFEZIONATI oppure PREPARATI IN CANTIERE CON IMPASTATRICI. Per intonaci, massetti, murature rivestimenti e riempitivi. Predilezione per impianti di produzione a basso consumo energetico e processi ottimizzati per ridurre rifiuti e scarti. Per i prodotti preco",Material,General,kg,1.03,1.03,1.03,1.03,1,EUR,5.44,5.2853,850,675,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,PANNELLI,f8300a6f6fde
TOS26_RU.M11.001.003,Settore: METALMECCANICO / IMPIANTISTICO Specifiche: per dipendenti a tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n 73 del 22 novembre 2024 Compreso: - retribuzione contrattuale; - oneri di legge e di fatto gravanti sulla manodopera; - nolo ed uso degli att,Labor,Labor,ora,25.53,25.53,25.53,25.53,1,EUR,56.3,2.2054,790,790,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,INFISSO,b10d200ce9d1
TOS26_02.A07.011.010,"Oggetto: TRASPORTO / MOVIMENTAZIONE Posizionamento: in ambito di cantiere. Compreso: carico, trasporto e scarico dei rifiuti agli impianti autorizzati ai fini del loro recupero o del loro smaltimento. Escluso: - costi di accesso per il loro conferimento; - eventuali tributi. | Oggetto: SCARRETTAMENT",Abstract Material,General,m³,13.4,13.4,13.4,13.4,1,EUR,5.62,0.4191,774,774,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,PANNELLI,a87ad743b9a6
TOS26_PR.P18.ZZ02.002,Oggetto: ISOLANTI TERMICI ED ACUSTICI Conforme: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcatura CE; - Dichiarazione di Prestazione (DoP) | Oggetto: ACCESSORI DI POSA PER ISOLANTI | rete in fibra di vetro alcali-resistente peso 155-160 g/m²,Material,General,m²,1.64,1.64,1.64,1.64,1,EUR,1.81,1.1,700,700,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,PANNELLI,8cf44e99efd6
TOS26_PRCAM.P22.034.001,PRODOTTI PER PAVIMENTI E RIVESTIMENTI - CAM. Conforme: CAM di cui al DM 23 giugno 2022 n. 256 | PRIMER. | di collegamento sintetico in soluzione acquosa,Material,Paint & Coatings,kg,10.75,10.75,10.75,10.75,1,EUR,2.96,0.2756,675,675,EDILIZIA CIVILE,Prezzario dei Lavori Pubblici della Toscana (edizione 2026),EDILIZIA CIVILE,PANNELLI,42041f4fe3a2
