resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
10.100.1062,Düz işçi,Labor,,Sa,165.6,124.0,205.0,165.0,3,TRY,3107.17,18.7555,16092,13864,CONSTRUCTION WORK,İnşaat,,,07ed0102e943
19.100.1029,Yükleyici (100 HP),Equipment,,Sa,1186.79,1166.53,1510.89,1166.53,2,TRY,37.59,0.0317,18,13,CONSTRUCTION WORK,İnşaat,,,f51d9ca81ead
19.100.1113,Mobil vinç,Equipment,,Sa,1080.4,1079.77,1402.45,1079.77,2,TRY,13320.59,12.3354,1019,1014,CONSTRUCTION WORK,İnşaat,,,d44d70eaa9ac
19.100.1112,Forklift,Equipment,,Sa,687.95,687.95,687.95,687.95,1,TRY,4701.44,6.834,1974,1969,CONSTRUCTION WORK,İnşaat,,,f013776010e2
19.100.1019,Traktör Buldozer (185 HP),Equipment,,Sa,2438.18,2438.18,2438.19,2438.18,2,TRY,11620.58,4.7661,84,16,CONSTRUCTION WORK,İnşaat,,,e1ce627a628d
10.160.1001,Jel Dinamit,Material,,Kg,92.86,63.0,120.0,120.0,2,TRY,8.92,0.0995,64,42,CONSTRUCTION WORK,İnşaat,,,2ede498c3202
10.160.1004,Fitil,Material,,m,9.6,6.3,12.0,12.0,2,TRY,9.68,1.0053,58,42,CONSTRUCTION WORK,İnşaat,,,40ee391d18d4
10.160.1005,Kapsül,Material,,Ad,15.81,10.4,19.75,19.75,2,TRY,15.06,0.9371,58,42,CONSTRUCTION WORK,İnşaat,,,7e9d06cdc705
19.100.1023,Kompresör,Equipment,,Sa,1991.73,1991.73,1991.73,1991.73,1,TRY,917.4,0.4606,71,29,CONSTRUCTION WORK,İnşaat,,,5f0123109a99
10.100.1011,Lağımcı (Ateşleme ustası),Labor,,Sa,262.0,250.0,310.0,250.0,2,TRY,104.85,0.3891,46,43,CONSTRUCTION WORK,İnşaat,,,14c2b8968ab0
10.100.1063,Erbab işçi,Labor,,Sa,207.11,200.0,250.0,200.0,2,TRY,1035.99,5.1657,507,371,CONSTRUCTION WORK,İnşaat,,,1b91a82dcbf5
15.115.1201,El ile her derinlikte yumuşak ve sert toprakta geniş derin kazı yapılması,Material,,m³,618.75,618.75,618.75,618.75,1,TRY,680.63,1.1,1,1,CONSTRUCTION WORK,İnşaat,,,edede79569fc
15.115.1203,El ile her derinlikte yumuşak ve sert küskülük zeminde geniş derin kazı yapılması,Material,,m³,891.0,891.0,891.0,891.0,1,TRY,980.1,1.1,1,1,CONSTRUCTION WORK,İnşaat,,,b753ef46e4ec
15.115.1205,"kullanarak her derinlikte yumuşak, sert, çok",Material,,m³,1071.34,1071.34,1071.34,1071.34,1,TRY,1178.47,1.1,1,1,CONSTRUCTION WORK,İnşaat,,,510628f12bff
15.115.1207,kullanmadan her derinlikte yumuşak kayada,Material,,m³,1201.43,1201.43,1201.43,1201.43,1,TRY,1321.57,1.1,1,1,CONSTRUCTION WORK,İnşaat,,,0ac9f082166f
15.115.1209,kullanmadan her derinlikte sert kayada geniş,Material,,m³,1500.19,1500.19,1500.19,1500.19,1,TRY,1650.21,1.1,1,1,CONSTRUCTION WORK,İnşaat,,,93e0e1234780
15.115.1211,kullanmadan her derinlikte çok sert kayada,Material,,m³,2097.71,2097.71,2097.71,2097.71,1,TRY,2307.48,1.1,1,1,CONSTRUCTION WORK,İnşaat,,,f11f814c4b2f
10.130.9991,Su,Material,,m³,40.18,35.0,55.0,38.5,3,TRY,5.74,0.1285,927,679,CONSTRUCTION WORK,İnşaat,,,79c2afad2de3
10.110.1002,Her cins hayvanla çekilen arabalar için taşıma katsayısı,Material,,,330.0,330.0,330.0,330.0,1,TRY,247.5,0.75,2,2,CONSTRUCTION WORK,İnşaat,,,57d8c88cb441
15.115.1215,El ile her derinlikte geniş derin batak ve balçık kazılması,Material,,m³,1493.25,1493.25,1493.25,1493.25,1,TRY,1642.58,1.1,1,1,CONSTRUCTION WORK,İnşaat,,,12440e8cb164
19.100.1006,Ekskavatör (paletli) (210-259 HP),Equipment,,Sa,2262.85,2262.85,2262.85,2262.85,1,TRY,1221.6,0.5398,27,23,CONSTRUCTION WORK,İnşaat,,,b2c165275a63
19.100.1027,Kazıcı yükleyici (100 HP),Equipment,,Sa,1294.1,1269.13,1656.24,1269.13,2,TRY,116.78,0.0901,63,63,CONSTRUCTION WORK,İnşaat,,,d48a401daa94
10.160.1003,"Amonyum nitrat, fuel-oil karışımı",Material,,Kg,22.66,21.45,40.75,21.45,2,TRY,8.04,0.3388,33,17,CONSTRUCTION WORK,İnşaat,,,362f27e279c3
19.100.1106,Paletli delgi makinası (160 HP),Equipment,,Sa,3075.13,2565.73,3393.51,3393.51,2,TRY,206.51,0.0619,27,11,CONSTRUCTION WORK,İnşaat,,,0185b40e69e9
19.100.1008,Ekskavatör (paletli) (260-299 HP),Equipment,,Sa,2678.46,2604.16,3421.44,2604.16,2,TRY,112.62,0.0418,12,11,CONSTRUCTION WORK,İnşaat,,,847e3f591b23
19.100.1009,Ekskavatör (paletli) (300-329 HP),Equipment,,Sa,3027.7,3027.7,3027.7,3027.7,1,TRY,224.05,0.074,4,4,CONSTRUCTION WORK,İnşaat,,,fb40591532f9
10.130.1004,Kum (elenmesi gerekmeyen ince agrega),Material,,m³,124.33,110.0,137.0,137.0,2,TRY,53.41,0.4158,50,36,CONSTRUCTION WORK,İnşaat,,,754831958523
10.130.1001,Çakıl (elenmesi gerekmeyen iri agrega),Material,,m³,125.05,108.0,135.0,135.0,2,TRY,84.69,0.6664,20,14,CONSTRUCTION WORK,İnşaat,,,8e9828884273
19.100.1013,Greyder (190 HP),Equipment,,Sa,2016.98,2016.98,2016.98,2016.98,1,TRY,17.06,0.0085,6,6,CONSTRUCTION WORK,İnşaat,,,07b46c99910d
19.100.1044,Arazöz,Equipment,,Sa,694.01,694.0,694.01,694.01,2,TRY,31.79,0.0458,55,52,CONSTRUCTION WORK,İnşaat,,,4e8c91ef0005
19.100.1047,Titreşimli Silindir (35-58 HP),Equipment,,Sa,1194.64,1194.64,1194.64,1194.64,1,TRY,54.38,0.0455,25,25,CONSTRUCTION WORK,İnşaat,,,92d3b018459f
10.130.1005,Kum (tuvenan agregadan elenmiş ve yıkanmış),Material,,m³,303.44,207.0,340.0,340.0,3,TRY,127.25,0.4196,99,51,CONSTRUCTION WORK,İnşaat,,,351ebf69f67f
10.130.1002,Çakıl (tuvenan agregadan elenmiş ve yıkanmış),Material,,m³,294.79,270.0,340.0,270.0,2,TRY,57.36,0.1827,97,64,CONSTRUCTION WORK,İnşaat,,,6c1c73742f4f
10.130.1008,32 mm'ye kadar kırmataş,Material,,m³,370.0,370.0,370.0,370.0,1,TRY,370.0,1.0,2,2,CONSTRUCTION WORK,İnşaat,,,7adccfe9806d
10.130.1009,63 mm'ye kadar kırmataş (en az iki tane sınıfı karıştırılarak hazırlanmış),Material,,m³,307.0,253.0,325.0,325.0,2,TRY,282.62,0.925,4,4,CONSTRUCTION WORK,İnşaat,,,b78f1b4c1f19
10.420.1852,Hafif agrega,Material,,m³,4.5,4.5,4.5,4.5,1,TRY,19.85,4.41,5,5,CONSTRUCTION WORK,İnşaat,,,e739ea3dc7f7
10.130.4503,Yuvarlak yapı odunu,Material,,m³,4536.0,4200.0,5040.0,4200.0,2,TRY,1192.8,0.239,6,6,CONSTRUCTION WORK,İnşaat,,,f9d3be6ef5c4
10.420.1006,Çivi,Material,,Kg,20.26,15.0,25.0,20.0,3,TRY,13.76,0.6719,212,120,CONSTRUCTION WORK,İnşaat,,,2028fa9f0ec5
10.100.1017,Dülger ustası,Labor,,Sa,253.46,190.0,310.0,250.0,3,TRY,742.41,2.8443,157,114,CONSTRUCTION WORK,İnşaat,,,73c9eadaa1f5
15.130.1001,Kazılara tam ahşap kaplamalı iksa yapılması,Material,,m²,735.5,735.5,735.5,735.5,1,TRY,539.37,0.7333,3,3,CONSTRUCTION WORK,İnşaat,,,1fe575112bbe
19.100.1107,Jet grouting ekipmanı ile delgi makinası,Equipment,,Sa,7461.92,7461.92,7461.92,7461.92,1,TRY,626.8,0.084,5,5,CONSTRUCTION WORK,İnşaat,,,d15989e8ecc8
10.100.1060,Formen,Labor,,Sa,360.64,360.0,445.0,360.0,2,TRY,525.34,1.4311,539,398,CONSTRUCTION WORK,İnşaat,,,badda1fdb0e2
19.100.1025,Kompresör (250 HP),Equipment,,Sa,1503.88,1503.88,1503.88,1503.88,1,TRY,69.96,0.0465,29,6,CONSTRUCTION WORK,İnşaat,,,41642ff93ef7
19.100.1057,Fore kazık delgi makinası (200 HP),Equipment,,Sa,2362.66,2362.66,2362.66,2362.66,1,TRY,366.21,0.155,12,6,CONSTRUCTION WORK,İnşaat,,,0c232b3ac639
15.150.1004,C 20/25 hazır beton,Material,,m³,2421.02,2421.02,2421.02,2421.02,1,TRY,2045.41,0.8449,13,13,CONSTRUCTION WORK,İnşaat,,,81b127c691c2
19.100.1033,Beton vibratörü,Equipment,,Sa,366.85,366.85,366.85,366.85,1,TRY,-3.2,-0.0087,96,88,CONSTRUCTION WORK,İnşaat,,,ee10ae3a4d5b
19.100.1056,Fore kazık delgi makinası (300 HP),Equipment,,Sa,5289.5,5289.5,5289.5,5289.5,1,TRY,714.09,0.135,24,12,CONSTRUCTION WORK,İnşaat,,,5e1152b275cd
19.100.1058,Fore kazık delgi makinası (440 HP),Equipment,,Sa,6742.26,6742.26,6742.26,6742.26,1,TRY,1679.94,0.2492,36,18,CONSTRUCTION WORK,İnşaat,,,9defe9151b8e
